Record ID,Title:,Publication year:,First author surname:,Is the article a relevant review?,Was the article published in or after 2004?,Is the article method empirical?,Is the article peer reviewed?,Is the article written in English?,Does the article describe a real world healthcare system or healthcare setting?,"Does the article describe an adaptation, response, or preparation for the impacts of pandemics OR climate change?","Does the article describe an IS model, theory, or framework in relation to the above response OR describe an IS-based tool to evaluate the response?",Additional notes about excluded study.,"Does the paper focus on a climate hazard(s), a pandemic(s), or both?",pandemic_type,Other pandemic event,What climate hazard does the article describe?,Other climate event,Does the article describe a response to a specific climate event e.g. Hurricane Katrina,Name of event(s),system_level,Comments,system_country,setting_type,Other health setting,aim,method,sites,implementation_science,Reason for 'unsure' rating:  ,nielsen_outcomes,process_model,implementation_theory,determinant_framework,classic_theory,evaluation_framework,implementation_stage,For how long?,proctor_outcomes,service_outcomes,client_oucomes,implementation_outcomes,Additional notes,Complete?
72,Implementation of treatment escalation plans in an old age psychiatry inpatient hospital,2021,Chua,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,Single site,Old age psychiatry hospital,UK,Hospital ,,"""Our aim for this quality improvement project was to pilot a novel TEP proforma within a UK old age psychiatry inpatient hospital.""",Mixed-methods,Single site,Process model,,PDSA,PDSA,,,,,During,,"Service outcomes,Implementation outcomes",Timeliness,,Adoption,,Complete
76,Implementing quality improvement intervention to improve intrapartum fetal heart rate monitoring during COVID-19 pandemic- observational study,2022,Bhattarai,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,Single site,"Pokhara Academy of Health Sciences (a referral hospital located in Pokhara, Province 4)",Nepal,Hospital ,,"""This study aims to assess the implementation of quality improvement (QI) intervention to  improve fetal heart rate monitoring (FHRM) and birth outcome before and during pandemic""",Quantitative,Single site,Process model,,PDSA,PDSA,,,,,"Pre,During",,Service outcomes,"Efficiency,Safety,Effectiveness,Timeliness",,,"PoAHS ""hospital provides Comprehensive Emergency Obstetric and Neonatal Care services.""    Intervention commenced pre COVID but was adapted for COVID-19 and clearly describes the differences between pre and post COVID and how the intervention was adapted to prevent COVID-19 transmissions. ",Complete
88,"Evaluation of rapid telehealth implementation for prenatal and postpartum care visits during the COVID-19 pandemic in an academic clinic in Springfield, Massachusetts, United States of America",2021,Reisinger-Kindle,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,Single site,"""This study evaluated the implementation of telehealth services for patients who received their prenatal or postpartum care at a large  urban academic obstetrics and gynecology practice...The clinic is located in a tertiary care hospital""",USA,Hospital ,,"""We utilized the RE-AIM framework to evaluate telehealth implementation in a large academic urban obstetric practice that serves a medically  underserved population.""",Mixed-methods,Single site,Evaluation framework,,RE-AIM,,,,,RE-AIM,Post,,"Service outcomes,Implementation outcomes",Effectiveness,,"Acceptability,Adoption,Feasibility,Sustainability","states that ""implementation outcomes measured suggested acceptability and appropriateness of telehealth"" but appropriateness was not specifically probed.",Complete
97,Perspectives on COVID-19 testing policies and practices: a qualitative study with scientific advisors and NHS health care workers in England,2021,Martindale,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,Regional ,"""Those eligible for inclusion were senior scientists and advisors to the UK Government on  COVID-19 response; and HCWs employed in NHS primary and secondary health care settings in England.""",UK,"Hospital ,Primary care ",,"""This paper provides insights into influences on and the enactment of national COVID-19 testing strategies for health care workers (HCWs) in English NHS settings during wave one of the COVID-19 pandemic (March-August 2020). Through the findings we aim to inform learning about COVID-19 testing policies and practices; and to inform future pandemic diagnostic preparedness.""",Qualitative,Multi-site,"Determinant framework,Implementation theory",,"NASSS Framework, NPT",,Normalisation Process Theory,NASSS Framework,,,During,,Implementation outcomes,,,"Adoption,Appropriateness,Sustainability","NASSS: for studying the Non-adoption, Abandonment and challenges to Scale-up, Spread and Sustainability of technology-supported change efforts in health and social care. (from another paper: NASSS consists of six domains - the illness or condition, the technology, the value proposition, the individuals intended to adopt the technology, the organisation(s) and the wider system - along with a seventh domain that considers how all these evolve over time).",Complete
105,Virtual family-centered rounds: a quality  improvement initiative to adapt inpatient  care during COVID-19 using a human-centred  participatory design approach,2023,Buba,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,Single site,A freestanding academic tertiary care   children's hospital ,Canada,"Hospital ,Tele-services",,"""Our aim was to rapidly design and implement a virtual model of FCR (family centred rounds) that would reduce close contact transmission of SARS-COV-2 and conserve PPE while retaining the benefits associated with FCR during the COVID-19  pandemic""",Mixed-methods,Single site,Process model,,HCD development cycle,HCD development cycle,,,,,"Pre,During",,"Service outcomes,Client outcomes,Implementation outcomes","Safety,Effectiveness",Satisfaction,"Acceptability,Adoption,Appropriateness","Human-centred participatory design using a HCD development cycle (plan, understand context, specify organisational requirements, produce designs, assess)",Complete
109,Factors associated with successful implementation of telehealth abortion in 4 United States clinical practice settings,2021,Godfrey,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,Municipal (e.g. local councils),"""We conducted semi-structured, in depth interviews in November and December 2020 with participants from clinical sites representing 4 different practice settings: (1) independent primary-care providers (independent PCPs), (2) telemedicine only, web-based health care clinics (online clinics), (3) specialized family planning clinics (family planning clinics), and (4) primary-care clinics within multispecialty health systems (health system).""",USA,"Primary care ,Tele-services",,"""This study identifies organizational factors that promoted successful implementation of telehealth and adoption of ""no test"" medication abortion protocols.""",Qualitative,Multi-site,Determinant framework,,CFIR,,,CFIR,,,During,,"Service outcomes,Implementation outcomes","Efficiency,Effectiveness,Patient-centredness",,"Acceptability,Adoption,Appropriateness,Feasibility","  ""Eleven sites were already offering telehealth abortion at the time of their interviews, and 4 sites were about to initiate services.""",Complete
110,Rapid implementation of telehealth services in a pediatric pulmonary clinic during COVID-19,2021,Davis,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,Single site,Paediatric pulmonary clinics at Boston Children's Hospital,USA,"Outpatient specialist services ,Tele-services",,"""We used QI principles to inform our approach, recognizing that the call for immediate action somewhat limited our ability to follow more rigorous QI methodologies, a reality supported by others working in this space. In this article, we present the strategies we adopted, our initial evaluation of provider and patient experiences with telehealth, and lessons learned.""",Quantitative,Single site,Process model,,PDSA,PDSA,,,,,"During,Post",,"Service outcomes,Client outcomes,Implementation outcomes","Efficiency,Effectiveness",Satisfaction,"Acceptability,Appropriateness,Feasibility",,Complete
118,Cancer Screening Among Rural and Urban Clinics During COVID-19: A Multistate Qualitative Study,2022,Hanna,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,Regional ,"Sample included individuals from practices across 10 states - ""Practice types included federally qualified health centers (23.8%), tribal health centers (a subset of federally qualified health centers; 11.9%), Medicare-designated rural health clinics (19.0%),hospital-/health system-owned clinics (21.4%), and academic medical centers (23.8%)."" Focus on state community health associations and cancer screening ",USA,Primary care ,,"""This qualitative study has three objectives: (1) identify cancer screening barriers and facilitators during the COVID-19 pandemic in rural and urban primary care clinics, (2) describe implementation strategies to support cancer screening, and (3) provide recommendations for cancer screening""",Qualitative,Multi-site,Determinant framework,,"CFIR, ERIC",,,"CFIR, ERIC",,,Post,,Implementation outcomes,,,Feasibility,"Reports on barriers and facilitators to cancer screening in general during COVID but does not specifically examine implementation outcomes.  ""We used the Consolidated Framework for Implementation Research to organize the themes regarding barriers and facilitators across three domains: (1) factors external to the organization, (2) factors within the organization, and (3) individual characteristics that may affect implementation. We used the Expert Recommendations for Implementing Change to categorize themes regarding implementation strategies""",Complete
124,Can financial incentives and other nudges increase COVID-19 vaccinations among the vaccine hesitant? A randomized trial,2022,Jacobson,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,District / county ,Contra Costa County - health district in California,USA,Public health,,"""We aimed to fill the gap in our understanding of whether behavioral nudges, including small financial incentives, public health messaging, and an easy appointment scheduler, could increase COVID-19 vaccinations among the vaccine hesitant.""",Quantitative,Multi-site,Classic theory,,Behavioural nudge theory ,,,,Behavioural nudge theory ,,During,,"Service outcomes,Implementation outcomes",Effectiveness,,Adoption,"Does not cite references to nudge theory but discusses in detail the concepts of nudges and references other articles that cite nudge theory. - ""Nudge theory is a domain within behavioural science that focuses on the psychology of decision-making"" lamprell et al 2020.   Implementation outcomes not explicitly stated but examined vaccination uptake (adoption) and number of vaccinations administered and ""whether respondents received at least one dose of a COVID-19 vaccine within 30 days of survey completion. Our secondary outcome was respondent's self-assessed probability (0-100) of getting vaccinated in the next 30 days at time of survey""",Complete
126,Implementing a COVID-19 Virtual Observation Unit in Emergency Medicine: Frontline Clinician and Staff Experiences,2023,Jung,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,Single site,Massachussets general hopsital,USA,ED,,"""We conducted a qualitative study to describe the experiences of frontline clinicians and staff implementing a COVID-19 Virtual Observation Unit (CVOU) in the Massachusetts General Hospital (MGH) ED. This novel program leveraged RPM with mobile integrated care."" "" We conducted in-depth interviews of 17 clinicians   and staff of various role groups to explore their experiences related to teamwork and patient-provider interactions when implementing a CVOU.""",Qualitative,Single site,"Determinant framework,Implementation theory",,"CFIR, Greenhalgh 2004 Diffusion of innovations",,Diffusion of innovations (Greenhalgh 2004),CFIR,,,Post,,Implementation outcomes,,,Acceptability,CFIR; Greenhalgh 2004 Diffusion of innovations in health care organizations conceptual model - both used to design interview surveys,Complete
133,Local health department public vaccination clinic success during 2009 pH1N1,2013,Klaiman,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,H1N1,,,,,,Regional ,"Reports focussing on successful LHDs ""that performed beyond expectations during the 2009 H1N1 vaccination campaigns"" and ""The LHDs served populations in urban, suburban, and rural communities in Washington, Texas, California, Illinois, Pennsylvania, New York,  Massachusetts, Louisiana, and Kansas.""",USA,Public health,,"""The objective of this project was to learn from H1N1 in order to improve public health systems responses to similar events in the future. """,Qualitative,Multi-site,Classic theory,,Realism/realist perspective,,,,Realism/realist perspective,,Post,,None,,,,"Note that this paper is a brief report of a realist evaluation so outcomes were mechanistic focussed e.g. ""We also found specific contexts in which particular mechanisms led to successful outcomes"". ""The realist perspective posits that interventions provide catalysts that change individual/organizations' reasoning processes, their motivations, capacities, opportunities, and the like, to promote change.""",Complete
142,"Evaluating a novel, integrative dashboard for health professionals' performance in managing deteriorating patients: a quality improvement project",2022,Almoud,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,District / county ,,UK,Hospital ,,"""To develop and evaluate a real-time dashboard of deteriorating patients' assessment, referral and therapy"" in response to COVID pressures",Mixed-methods,Multi-site,"Process model, Determinant framework",,"PDSA Cycle, Technology Acceptance Framework",PDSA,,Technology Acceptance Framework,,,Post,,Implementation outcomes,,,"Acceptability,Adoption,Appropriateness",,Complete
146,Substance Use Disorder Treatment Programs during a Health Crisis: Response to the COVID-19 Pandemic and Future Implications,2023,Baloh,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,State / provincial / territorial ,,USA,Outpatient specialist services ,,"""In this qualitative study, we examined what changes SUD treatment programs in Arkansas implemented in response to the pandemic, what factors influenced their ability to implement these changes, and their reflections, outlook, and future recommendations.""",Qualitative,Multi-site,Determinant framework,,CFIR,,,CFIR,,,During,,None,,,,,Complete
164,Co-creating a Theory of Change to advance COVID-19 testing and vaccine uptake in underserved communities,2022,Stadnick,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,District / county ,"Included participants for community advisory boards from around San Diego, CA. ",USA,"Primary care ,Public Health",,"""Our objective is to describe the use of a Theory of Change process to meaningfully engage community members from or support underserved communities in two implementation science projects funded by the Community Engagement Alliance Against COVID-19 Disparities and Rapid Acceleration of Diagnostics for Underserved Populations National Institutes of Health programs aimed at promoting equitable access to COVID-19 testing, vaccination, and inclusion in clinical trials."" CO-CREATE: ""The key objective is to understand practices, barriers, and facilitators to access and uptake of COVID-19 testing and follow-up for underserved community members from the perspectives of patients, providers, and organizational leaders at a federally qualified health center with clinics in South San Diego near the US/Mexico border"", STOP: ""to conduct a rapid community engagement project to assess multilevel barriers, facilitators, and processes to engage individuals from underserved communities, particularly BIPOC, African, Asian, and Middle Eastern immigrant and refugee communities, in COVID-19 screening and vaccine trials, as well as to advance vaccine uptake""",Qualitative,Multi-site,Process model,,Theory of Change,Theory of Change Model,,,,,"Pre,During",,None,,,,"The two projects examined by the study cover COVID19 testing, screening and vaccine uptake. Advisory boards included community residents, clinicians, clinical administrators, policy partners and public health researchers.     ""The goal of the CO-CREATE CAB was to directly inform cocreated implementation strategies for a tailored COVID-19 testing program that is currently being implemented"" and ""The goal of the STOP COVID-19 CA CAB was to inform mate trials and resources needed to support vaccine clinical trial participation and equity initiatives in underserved communities.""",Complete
170,Increasing Medical Power of Attorney Completion for Hospitalized Patients During the COVID Pandemic: A Social Work Led Quality Improvement Intervention,2021,Singh,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,Single site,"650-bed tertiary referral, academic medical center serving the Denver metropolitan area",USA,Hospital ,,"""Assess the impact of a social work and care management intervention on the proportion of admitted patients each week with a Medical Durable Power of Attorney (MDPOA).""",Quantitative,Single site,Process model,,PDSA,PDSA,,,,,During,,"Service outcomes,Implementation outcomes",Effectiveness,,"Feasibility,Fidelity","""observed an increase in the number of hospitalized patients who completed an MDPOA form after an SW led ACP intervention."" -Effectiveness of intervention  Feasibility - previous studies showed it was feasible for social workers (SW) to get admitted COVID-19 patients to create a health directive. This study refined and simplified the process. ""While these activities required a small amount of extra time, the workload was manageable and did not require extra care management staff.""  Fidelity - needed to change the intervention  -staff overwhelmed with requests and had to change to prioritize patients at risk of poor outcomes to keep the process manageable. ",Complete
172,Front-Line innovation: Rapid implementation of a nurse-driven protocol for care of outpatients with COVID-19,2021,Driver,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,Municipal (e.g. local councils),"The VA Boston Healthcare System provides primary care for over 30,000 Veterans within a 40-mile radius of the greater Boston area. ",USA,Tele-services,,"""Our objective was to rapidly adapt and scale a registered nurse-driven Coordinated Transitional Care (C-TraC) programme to provide intensive home monitoring and optimise care for outpatient Veterans with COVID-19 in a large urban Unites States healthcare system.""",Quantitative,Single site,Process model,,PDSA,PDSA,,,,,"Pre,Post",,"Service outcomes,Client outcomes,Implementation outcomes","Safety,Effectiveness,Patient-centredness",Symptomatology,"Feasibility,Penetration,Sustainability","""During this, REP phase decisions are made about sustainment, expansion and dissemination. The stakeholders agreed that the model was successful but needed rapid expansion as the number of cases was beginning to overwhelm the capacity of the C-TraC RNs.""    ""there was a growing awareness that additional surges of COVID-19 were possible. This required a long-term plan based on existing resources. ""    Effectiveness - ""The programme successfully achieved all its goals. Nearly, all outpatients tested at VA Boston were informed of negative results in less than 24 hours and positive results within 4 hours after lab reporting""    Safety - ""Using this model, 85% of our high-risk population was safely managed in the outpatient setting with virtual care, primarily by nurses and almost entirely by phone.""    Patient-centeredness - ""While no Veterans refused follow-up by the programme, some were overwhelmed by the intensity of contact, especially those with psychiatric illness. In these cases, we had to balance our clinical concern with respect for the patient's privacy and use other means of communication such as text messaging or secure email.""",Complete
174,Climate change mitigation: Qualitative analysis of environmental impact-reducing strategies in German primary care,2023,Fehrer,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Climate hazard,,,General climate change,,No,,National ,National experts in primary care,Germany,Primary care ,,"""this present study aimed to identify climate change mitigation measures and factors influencing their implementation in German primary care practices with a focus on carbon footprint-reducing measures.""",Qualitative,Multi-site,Determinant framework,,CFIR,,,CFIR,,,Pre,,None,,,,Modified CFIR - only took barriers and enablers bits,Complete
178,A Multisite Investigation of Areas for Improvement in COVID-19 Surge Capacity Management,2023,Post,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,Regional ,,USA,Whole health system,,"""We applied a modified version of the Barbisch and Koenig 4-S framework (staff, stuff, space, systems) to analyze COVID-19 surge management practices implemented by healthcare stakeholders at 5 pilot sites.""",Qualitative,Multi-site,Determinant framework,,"Barbisch and Koenig 4-S framework (staff, stuff, space, systems)",,,Barbisch and Koenig 4-S framework,,,Post,,None,,,,,Complete
179,Rapid-cycle designs to adapt interventions for COVID-19 in safety-net healthcare systems,2023,Schlechter,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,State / provincial / territorial ,,USA,Primary care ,,"""The purpose of this paper is to describe the application of a rapid-cycle design and adaptation process from an ongoing trial to address COVID-19 among safety-net healthcare system patients.""",Mixed-methods,Multi-site,"Process model,Determinant framework,Classic theory,Evaluation framework",,"PDSA, CFIR, Social Cognitive Theory, Complexity Theory, RE-AIM",PDSA,,CFIR,"Social Cognitive Theory, Complexity Theory,",RE-AIM,"Pre,During,Post",,Implementation outcomes,,,"Acceptability,Adoption,Appropriateness,Penetration",Really good IS paper - maybe rip out for a case study in the review?,Complete
180,Adaptation of a community health outreach model during the COVID-19 pandemic: the case of the Mexican consulates in the United States of America,2023,Gaitan-Rossi,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,National ,,USA,Outreach program,,"""The Ventanillas de Salud (VDS - ""Health Windows"") are a culturally sensitive outreach program within the 49 Mexican Consulates in the United States that provides information and health care navigation support to underserved and uninsured Mexican immigrants. During the COVID-19 pandemic the VDS rapidly transitioned to remote operations adding new services. Based on the EquIR implementation framework, this qualitative study investigates how adaptations to improve emergency preparedness were performed.""",Qualitative,Multi-site,Determinant framework,,EquIR Framework,,,EquIR Framework,,,Post,,Implementation outcomes,,,"Acceptability,Adoption,Appropriateness,Cost,Feasibility,Fidelity,Penetration,Sustainability","EquIR Framework (components = context and needs, strategies for innovation, implementation outcomes, and equity outcomes; Implementation outcomes = acceptability, adoption, appropriateness, feasibility, fidelity, implementation cost, coverage, and sustainability)",Complete
